"","A","","","0000006946","","","00000000","00000000","TA","","100","00000000","1000","20010515","","EUR","0000002004","","","","","","","","157965.90","00001205","00000000","EUR","C","20010516","1030","130","1000","02","12","EUR","00","","1","K4"
"","A","","","0000008777","","","00000000","00000000","TA","","100","00000000","3000","20030307","","USD","0000300718","","","","","","","","21319.20","00000000","00000000","USD","C","20030314","3030","332","3020","01","10","USD","00","","1","K4"
"","A","","","0000006947","","","00000000","00000000","TA","","100","00000000","1000","20010515","","EUR","0000002200","","","","","","","","29224.80","00001703","00000000","EUR","C","20010516","1010","110","1000","02","12","EUR","00","","1","K4"
"","A","","","0000005179","","","00000000","00000000","TA","","100","00000000","1000","19970905","","EUR","0000002130","","","","","","","","49940.00","00001710","00000000","EUR","C","19970906","1000","101","1000","02","10","DEM","00","","1","K4"
"","A","","","0000008036","","","00000000","00000000","TA","","100","00000000","3000","20020930","","USD","0000300703","","","","","","","","1770.40","00000000","00000000","USD","C","20021007","3040","341","3020","02","30","USD","00","","1","K4"
"","B","","","0000008779","","","00000000","00000000","TA","","100","00000000","3000","20030310","","USD","0000300702","","","","","","","","114892.60","00000000","00000000","USD","C","20030317","3030","332","3020","02","10","USD","00","","1","K4"
"","A","","","0000006948","","","00000000","00000000","TA","","100","00000000","1000","20010515","","EUR","0000001900","","","","","","","","835964.60","00001264","00001264","EUR","C","20010516","1000","103","1000","02","12","EUR","00","","1","K4"
"","A","","","0000005180","","","00000000","00000000","TA","","100","00000000","1000","19970905","","EUR","0000001360","","","","","","","","19740.00","00001205","00000000","EUR","C","19970906","1030","130","1000","02","10","DEM","00","","1","K4"
"","A","","","0000008037","","","00000000","00000000","TA","","100","00000000","3000","20020930","","USD","0000300701","","","","","","","","725.60","00000000","00000000","USD","C","20021007","3040","341","3020","02","30","USD","00","","1","K4"
"","A","","","0000008786","","","00000000","00000000","TA","","100","00000000","3000","20030311","","USD","0000300716","","","","","","","","34225.60","00000000","00000000","USD","C","20030318","3040","341","3020","02","30","USD","00","","1","K4"
"","A","","","0000006961","","","00000000","00000000","TA","","100","00000000","1000","20010515","","EUR","0000002004","","","","","","","","162797.40","00001205","00000000","EUR","C","20010516","1030","130","1000","02","12","EUR","00","","1","K4"
"","A","","","0000005181","","","00000000","00000000","TA","","100","00000000","1000","19970905","","EUR","0000002140","","","","","","","","181993.68","00001710","00001710","EUR","C","19970906","1000","101","1000","02","12","DEM","00","","1","K4"
"","C","","","0000006548","","","00000000","00000000","TA","","100","00000000","1000","20001110","","EUR","0000001360","","","","","","","","15389.35","00001205","00001205","EUR","C","20001111","1030","130","1000","02","10","EUR","00","","1","K4"
"","A","","","0000008040","","","00000000","00000000","TA","","100","00000000","3000","20020930","","USD","0000300701","","","","","","","","559.30","00000000","00000000","USD","C","20021007","3020","322","3020","02","10","USD","00","","1","K4"
"","A","","","0000008787","","","00000000","00000000","TA","","100","00000000","3000","20030311","","USD","0000300705","","","","","","","","91367.50","00000000","00000000","USD","C","20030318","3020","321","3020","02","10","USD","00","","1","K4"
"","A","","","0000006962","","","00000000","00000000","TA","","100","00000000","1000","20010515","","EUR","0000002200","","","","","","","","38427.20","00001703","00000000","EUR","C","20010516","1010","110","1000","02","12","EUR","00","","1","K4"
"","A","","","0000005182","","","00000000","00000000","TA","","100","00000000","1000","19970905","","EUR","0000001460","","","","","","","","225296.00","00001703","00000000","EUR","C","19970906","1010","110","1000","02","10","DEM","00","","1","K4"
"","A","","","0000006418","","","00000000","00000000","TA","","100","00000000","1000","20000809","","EUR","0000002130","","","","","","","","21531.20","00001710","00000000","EUR","C","20000810","1000","101","1000","02","10","EUR","00","","1","K4"
"","A","","","0000008041","","","00000000","00000000","TA","","100","00000000","3000","20020930","","USD","0000300701","","","","","","","","1079.00","00000000","00000000","USD","C","20021007","3040","341","3020","02","30","USD","00","","1","K4"
